,SPUS Value,SPUS Momentum,SPUS Quality,SPUS Low Beta,SPUS Ptf,SPUS Bench
31.12.2023,100,100,100,100,100,100
02.01.2024,100.1364904,98.80818958,99.39224114,100.2750383,99.64209798,99.38535813
03.01.2024,99.09694022,97.89546979,98.42648603,99.58367359,98.74200707,98.43659549
04.01.2024,98.60900347,97.60340708,98.10946869,99.4141665,98.42305673,98.18818376
05.01.2024,99.28326047,97.74810307,98.19911004,99.50172261,98.67357481,98.38382147
08.01.2024,100.5842054,99.63353857,99.79614893,100.7645214,100.1918237,99.890186
09.01.2024,100.1298967,99.68628536,99.5052177,100.691558,99.99919962,99.75468453
10.01.2024,100.1672926,100.385538,99.92629489,100.9628273,100.3588358,100.2491915
11.01.2024,99.77119723,100.7714576,99.85600469,100.7138819,100.2797318,100.2123346
12.01.2024,99.4371772,100.8926894,99.86425739,100.8766242,100.2702607,100.2485493
16.01.2024,98.80191746,100.81066,99.62900813,100.6558977,99.97845651,100.0366047
17.01.2024,97.77046815,100.3471941,99.0337706,100.2759081,99.39778282,99.46774157
18.01.2024,98.66844132,101.6147386,100.1962624,100.7619121,100.342895,100.2599023
19.01.2024,100.424731,103.0071394,101.3730778,101.3828261,101.717076,101.5619137
22.01.2024,101.3868519,103.7079182,101.8791483,101.3385648,102.2168449,101.8468613
23.01.2024,101.5389789,103.2684888,101.9847259,102.057472,102.3052866,102.09103
24.01.2024,101.3264721,103.2273787,101.6185718,101.5689553,102.0201522,102.1174285
25.01.2024,102.3749709,103.6271288,102.0251356,102.8872256,102.8123922,102.719089
26.01.2024,101.7685352,103.0480587,101.7828668,102.6830246,102.3979969,102.6057659
29.01.2024,102.0513125,104.2885145,102.2323067,103.0582789,102.9681323,103.461916
30.01.2024,101.5600789,104.2522689,102.6555657,103.0616613,102.9516579,103.4635673
31.01.2024,99.78061685,102.4433306,101.2362918,102.0329254,101.465424,101.8616087
01.02.2024,100.6317745,104.2183126,102.6230292,103.4412644,102.8501434,103.1599963
02.02.2024,100.9549619,105.8306666,102.9749545,103.5195431,103.3763247,103.9926607
05.02.2024,100.2760893,105.7616093,102.9342602,102.951588,103.022558,103.716979
06.02.2024,101.0051686,105.2321383,103.5428728,103.2760095,103.2558012,103.8764249
07.02.2024,100.6613521,106.9765978,104.7584853,103.2103908,103.866289,104.7210614
08.02.2024,100.903154,107.9193632,104.8635886,102.9915971,104.1386173,104.8585583
09.02.2024,101.3669765,109.1716465,105.8890098,103.0766406,104.8955074,105.5354923
12.02.2024,102.5182435,108.5569985,105.6297613,103.2130001,105.0531817,105.5226027
13.02.2024,100.2661987,106.9265217,103.9330261,101.99137,103.33097,104.0691498
14.02.2024,101.4110603,108.8258831,105.0264608,102.1977937,104.4304882,105.1872663
15.02.2024,101.5825918,108.7651242,105.6221726,102.8633554,104.7515062,105.7470012
16.02.2024,100.7228623,107.9031481,105.249663,102.3041947,104.0841917,105.2212105
20.02.2024,100.502443,107.0830452,103.9573098,102.1780791,103.5332653,104.4348065
21.02.2024,100.435752,104.896581,103.9098806,102.3082536,103.0268266,104.3902892
22.02.2024,102.2088087,108.4529356,106.7624675,104.1281837,105.3919414,106.9154148
23.02.2024,102.2125765,108.6676428,107.2354323,104.3767425,105.6549987,107.0302975
26.02.2024,101.4220813,109.3873074,107.1100293,103.5014713,105.4477677,106.7483773
27.02.2024,102.0197567,109.1357825,107.2556372,103.3529352,105.589768,106.8642004
28.02.2024,101.587019,108.8868329,107.2627516,103.4114992,105.3800691,106.6583106
29.02.2024,102.5968032,109.5617629,107.818528,103.6850879,106.0982743,107.318823
01.03.2024,103.3088329,111.4685642,109.6065172,104.2538161,107.2056629,108.3561157
04.03.2024,103.6325855,111.4890715,109.328297,104.6569994,107.2921704,108.4568014
05.03.2024,103.0204039,109.2263009,108.4654634,103.8276324,106.284362,107.3991652
06.03.2024,104.1927708,109.6010607,109.3524859,104.4719332,107.0685983,108.1341483
07.03.2024,105.4569791,111.1738307,110.5107091,105.4578576,108.2901074,109.3559781
08.03.2024,105.0498628,109.4918471,109.5833717,105.386827,107.5335508,108.4246004
11.03.2024,105.6040195,108.9688622,109.3061001,105.6023348,107.4589156,108.3156579
12.03.2024,106.6438523,111.0945675,110.4661255,106.4470677,108.7612628,109.6481273
